StudentID,StudentName,CourseCode
20250001,John Harris,ART346
20250001,John Harris,PHYS438
20250001,John Harris,ART377
20250001,John Harris,PSY285
20250002,Anthony Martin,BIO313
20250002,Anthony Martin,ENG123
20250002,Anthony Martin,PSY309
20250002,Anthony Martin,ENG325
20250002,Anthony Martin,MATH437
20250002,Anthony Martin,BIO307
20250003,Mark Brown,ECON374
20250003,Mark Brown,BIO208
20250003,Mark Brown,MATH361
20250003,Mark Brown,CS384
20250004,Richard Thomas,HIST366
20250004,Richard Thomas,PSY370
20250004,Richard Thomas,PSY285
20250004,Richard Thomas,PSY395
20250004,Richard Thomas,CS433
20250005,Linda Ramirez,BIO220
20250005,Linda Ramirez,MATH462
20250005,Linda Ramirez,CS212
20250005,Linda Ramirez,ECON374
20250006,David Jones,PHYS137
20250006,David Jones,ART264
20250006,David Jones,CHEM321
20250006,David Jones,PSY189
20250006,David Jones,PHYS171
20250007,Margaret Wilson,CS115
20250007,Margaret Wilson,MATH462
20250007,Margaret Wilson,ENG498
20250007,Margaret Wilson,ENG320
20250007,Margaret Wilson,CS421
20250007,Margaret Wilson,MATH158
20250008,Margaret Lee,PHYS134
20250008,Margaret Lee,ENG123
20250008,Margaret Lee,BIO313
20250008,Margaret Lee,ART377
20250008,Margaret Lee,BIO220
20250009,Richard Lopez,ENG474
20250009,Richard Lopez,CS115
20250009,Richard Lopez,ART473
20250009,Richard Lopez,PHYS134
20250009,Richard Lopez,BIO220
20250009,Richard Lopez,PSY370
20250010,Sarah Moore,CS384
20250010,Sarah Moore,ENG149
20250010,Sarah Moore,ART323
20250010,Sarah Moore,CHEM321
20250010,Sarah Moore,BIO220
20250010,Sarah Moore,ART473
20250011,Linda Johnson,ART473
20250011,Linda Johnson,CHEM230
20250011,Linda Johnson,ENG214
20250011,Linda Johnson,HIST366
20250011,Linda Johnson,ECON480
20250011,Linda Johnson,PSY370
20250012,Barbara Martin,CS115
20250012,Barbara Martin,HIST271
20250012,Barbara Martin,HIST204
20250012,Barbara Martin,PHYS186
20250012,Barbara Martin,BIO208
20250013,Betty Sanchez,HIST204
20250013,Betty Sanchez,ECON430
20250013,Betty Sanchez,CS115
20250013,Betty Sanchez,ECON291
20250013,Betty Sanchez,MATH437
20250014,Susan Robinson,PSY395
20250014,Susan Robinson,MATH437
20250014,Susan Robinson,CS384
20250014,Susan Robinson,CS421
20250015,David Sanchez,PSY192
